id,lat,long,misc
269,-24,10,S24 00 E010 00           
270,24,-20,N24 00 W020 00           
271,-25,0,S25 00 E000 00           
272,-25,5,S25 00 E005 00           
273,-25,-5,S25 00 W050 00           
274,-25,10,S25 00 0 E010 00 0       
275,25,-18.85,N25 W018                 
276,25,-19,2519N                    
277,25,-20,N25 00 W020 00           
278,-25.5,38,2538A                    
279,-25.3,43.5,2543A                    
280,-25,45,S25 00 E045 00           
281,-25,50,S25 00 E050 00           
282,-25,55,S25 00 E055 00           
283,-25,60,S25 00 E060 00           
284,-25,65,S25 00 E065 00           
285,-25,70,S25 00 E070 00           
286,-25,75,S25 00 E075 00           
287,-26,0,S26 00 E000 00           
288,-26,10,S26 00 0 E010 00 0       
289,26,-20,N26 00 W020 00           
290,-4.308333333,24.32166667,26KIN                    
291,-27,0,S27 00 E000 00           
292,-27,5,2705S                    
293,-27,10,S27 00 E010 00           
294,27,-20,N27 00 W020 00           
295,-28,0,S28 00 E000 00           
296,-28,10,S28 00 E010 00           
297,28,-20,N28 00 W020 00           
298,-28.17833333,34.81,2834A                    
299,-28,60,S28 00 E060 00           
300,-29,0,S29 00 E000 00           
301,-29,10,S29 00 E010 00           
302,29,-20,N29 00 W020 00           
303,-30,0,S30 00 E000 00           
304,-30,5,S30 00 E005 00           
305,-30,-5,S30 00 W005 00           
306,30,-10,N30 00 W010 00           
307,-30,10,S30 00 E010 00           
308,-30,35,S30 00 E035 00           
309,-30,40,S30 00 E040 00           
310,-30,45,S30 00 0 E045 00 0       
311,-30,50,S30 00 E050 00           
312,-30,55,S30 00 E055 00           
313,-30,60,S30 00 E060 00           
314,-30,65,S30 00 E065 00           
315,-30,70,S30 00 E070 00           
316,-30,75,S30 00 E075 00           
317,-31,0,S31 00 E000 00           
318,31,-10,N31 00 W010 00           
319,-31,10,S31 00 E010 00           
320,-13.42611111,30.99666667,31 ECHO                  
321,-32,0,S32 00 E000 00           
322,32,-10,N32 00 W010 00           
323,-32,10,S32 00 E010 00           
324,-32,40,S32 00 E040 00           
325,-33,0,S33 00 E000 00           
326,33,-10,N33 00 0 W010 00 0       
327,-33,10,S33 00 E010 00           
328,-33,20,S33 00 E020 00           
329,-33,30,S33 00 E030 00           
330,-33,40,S33 00 E040 00           
331,-34,0,S34 00 E000 00           
332,34,-10,N34 00 W010 00           
333,-34,10,S34 00 E010 00           
334,-34,20,S34 00 E020 00           
335,-34,30,S34 00 E030 00           
336,-34,40,S34 00 E040 00           
337,-35,0,S35 00 E000 00           
338,-35,5,S35 00 E005 00           
339,-35,-5,S35 00 W005 00           
340,35,-10,N35 00 W010 00           
